index,po_id,supplier_name,amount_mad,supplier_risk,urgency
0,PO-2026-3001,Casa Equipment,198821,low,urgent
1,PO-2026-3002,Rabat Supplies,31142,low,normal
2,PO-2026-3003,Tanger Logistics Parts,48463,medium,normal
3,PO-2026-3004,Kenitra Maintenance,65784,low,normal
4,PO-2026-3005,Marrakech Office Solutions,83105,low,urgent
5,PO-2026-3006,Agadir Packaging,100426,medium,urgent
6,PO-2026-3007,Fes Technical Services,117747,low,normal
7,PO-2026-3008,Atlas Industrial,135068,high,normal
8,PO-2026-3009,Casa Equipment,152389,medium,normal
9,PO-2026-3010,Rabat Supplies,169710,low,urgent
10,PO-2026-3011,Tanger Logistics Parts,187031,low,urgent
11,PO-2026-3012,Kenitra Maintenance,19352,medium,normal
12,PO-2026-3013,Marrakech Office Solutions,36673,low,normal
13,PO-2026-3014,Agadir Packaging,53994,low,normal
14,PO-2026-3015,Fes Technical Services,71315,medium,urgent
15,PO-2026-3016,Atlas Industrial,88636,high,urgent
16,PO-2026-3017,Casa Equipment,105957,low,normal
17,PO-2026-3018,Rabat Supplies,123278,medium,normal
18,PO-2026-3019,Tanger Logistics Parts,140599,low,normal
19,PO-2026-3020,Kenitra Maintenance,157920,low,urgent
20,PO-2026-3021,Marrakech Office Solutions,175241,medium,urgent
21,PO-2026-3022,Agadir Packaging,192562,low,normal
22,PO-2026-3023,Fes Technical Services,24883,low,normal
23,PO-2026-3024,Atlas Industrial,42204,high,normal
24,PO-2026-3025,Casa Equipment,59525,low,urgent
25,PO-2026-3026,Rabat Supplies,76846,low,urgent
26,PO-2026-3027,Tanger Logistics Parts,94167,medium,normal
27,PO-2026-3028,Kenitra Maintenance,111488,low,normal
28,PO-2026-3029,Marrakech Office Solutions,128809,low,normal
29,PO-2026-3030,Agadir Packaging,146130,medium,urgent
30,PO-2026-3031,Fes Technical Services,163451,low,urgent
31,PO-2026-3032,Atlas Industrial,180772,high,normal
32,PO-2026-3033,Casa Equipment,198093,medium,normal
33,PO-2026-3034,Rabat Supplies,30414,low,normal
34,PO-2026-3035,Tanger Logistics Parts,47735,low,urgent
35,PO-2026-3036,Kenitra Maintenance,65056,medium,urgent
36,PO-2026-3037,Marrakech Office Solutions,82377,low,normal
37,PO-2026-3038,Agadir Packaging,99698,low,normal
38,PO-2026-3039,Fes Technical Services,117019,medium,normal
39,PO-2026-3040,Atlas Industrial,134340,high,urgent
40,PO-2026-3041,Casa Equipment,151661,low,urgent
41,PO-2026-3042,Rabat Supplies,168982,medium,normal
42,PO-2026-3043,Tanger Logistics Parts,186303,low,normal
43,PO-2026-3044,Kenitra Maintenance,18624,low,normal
44,PO-2026-3045,Marrakech Office Solutions,35945,medium,urgent
45,PO-2026-3046,Agadir Packaging,53266,low,urgent
46,PO-2026-3047,Fes Technical Services,70587,low,normal
47,PO-2026-3048,Atlas Industrial,87908,high,normal
48,PO-2026-3049,Casa Equipment,105229,low,normal
49,PO-2026-3050,Rabat Supplies,122550,low,urgent
50,PO-2026-3051,Tanger Logistics Parts,139871,medium,urgent
51,PO-2026-3052,Kenitra Maintenance,157192,low,normal
52,PO-2026-3053,Marrakech Office Solutions,174513,low,normal
53,PO-2026-3054,Agadir Packaging,191834,medium,normal
54,PO-2026-3055,Fes Technical Services,24155,low,urgent
55,PO-2026-3056,Atlas Industrial,41476,high,urgent
56,PO-2026-3057,Casa Equipment,58797,medium,normal
57,PO-2026-3058,Rabat Supplies,76118,low,normal
58,PO-2026-3059,Tanger Logistics Parts,93439,low,normal
59,PO-2026-3060,Kenitra Maintenance,110760,medium,urgent
60,PO-2026-3061,Marrakech Office Solutions,128081,low,urgent
61,PO-2026-3062,Agadir Packaging,145402,low,normal
62,PO-2026-3063,Fes Technical Services,162723,medium,normal
63,PO-2026-3064,Atlas Industrial,180044,high,normal
64,PO-2026-3065,Casa Equipment,197365,low,urgent
65,PO-2026-3066,Rabat Supplies,29686,medium,urgent
66,PO-2026-3067,Tanger Logistics Parts,47007,low,normal
67,PO-2026-3068,Kenitra Maintenance,64328,low,normal
68,PO-2026-3069,Marrakech Office Solutions,81649,medium,normal
69,PO-2026-3070,Agadir Packaging,98970,low,urgent
70,PO-2026-3071,Fes Technical Services,116291,low,urgent
71,PO-2026-3072,Atlas Industrial,133612,high,normal
72,PO-2026-3073,Casa Equipment,150933,low,normal
73,PO-2026-3074,Rabat Supplies,168254,low,normal
74,PO-2026-3075,Tanger Logistics Parts,185575,medium,urgent
75,PO-2026-3076,Kenitra Maintenance,202896,low,urgent
76,PO-2026-3077,Marrakech Office Solutions,35217,low,normal
77,PO-2026-3078,Agadir Packaging,52538,medium,normal
78,PO-2026-3079,Fes Technical Services,69859,low,normal
79,PO-2026-3080,Atlas Industrial,87180,high,urgent
80,PO-2026-3081,Casa Equipment,104501,medium,urgent
81,PO-2026-3082,Rabat Supplies,121822,low,normal
82,PO-2026-3083,Tanger Logistics Parts,139143,low,normal
83,PO-2026-3084,Kenitra Maintenance,156464,medium,normal
84,PO-2026-3085,Marrakech Office Solutions,173785,low,urgent
85,PO-2026-3086,Agadir Packaging,191106,low,urgent
86,PO-2026-3087,Fes Technical Services,23427,medium,normal
87,PO-2026-3088,Atlas Industrial,40748,high,normal
88,PO-2026-3089,Casa Equipment,58069,low,normal
89,PO-2026-3090,Rabat Supplies,75390,medium,urgent
90,PO-2026-3091,Tanger Logistics Parts,92711,low,urgent
91,PO-2026-3092,Kenitra Maintenance,110032,low,normal
92,PO-2026-3093,Marrakech Office Solutions,127353,medium,normal
93,PO-2026-3094,Agadir Packaging,144674,low,normal
94,PO-2026-3095,Fes Technical Services,161995,low,urgent
95,PO-2026-3096,Atlas Industrial,179316,high,urgent
96,PO-2026-3097,Casa Equipment,196637,low,normal
97,PO-2026-3098,Rabat Supplies,28958,low,normal
98,PO-2026-3099,Tanger Logistics Parts,46279,medium,normal
99,PO-2026-3100,Kenitra Maintenance,63600,low,urgent
100,PO-2026-3101,Marrakech Office Solutions,80921,low,urgent
101,PO-2026-3102,Agadir Packaging,98242,medium,normal
102,PO-2026-3103,Fes Technical Services,115563,low,normal
103,PO-2026-3104,Atlas Industrial,132884,high,normal
104,PO-2026-3105,Casa Equipment,150205,medium,urgent
105,PO-2026-3106,Rabat Supplies,167526,low,urgent
106,PO-2026-3107,Tanger Logistics Parts,184847,low,normal
107,PO-2026-3108,Kenitra Maintenance,202168,medium,normal
108,PO-2026-3109,Marrakech Office Solutions,34489,low,normal
109,PO-2026-3110,Agadir Packaging,51810,low,urgent
110,PO-2026-3111,Fes Technical Services,69131,medium,urgent
111,PO-2026-3112,Atlas Industrial,86452,high,normal
112,PO-2026-3113,Casa Equipment,103773,low,normal
113,PO-2026-3114,Rabat Supplies,121094,medium,normal
114,PO-2026-3115,Tanger Logistics Parts,138415,low,urgent
115,PO-2026-3116,Kenitra Maintenance,155736,low,urgent
116,PO-2026-3117,Marrakech Office Solutions,173057,medium,normal
117,PO-2026-3118,Agadir Packaging,190378,low,normal
118,PO-2026-3119,Fes Technical Services,22699,low,normal
119,PO-2026-3120,Atlas Industrial,40020,high,urgent
